year,month,day,cases
2022,7,26,1829
2022,7,27,2041
2022,7,28,1362
2022,7,29,1123
2022,7,30,163
2022,7,31,141
2022,8,1,1691
2022,8,2,1256
2022,8,3,932
2022,8,4,752
2022,8,5,743
2022,8,6,121
2022,8,7,84
2022,8,8,1189
2022,8,9,752
2022,8,10,557
2022,8,11,509
2022,8,12,528
2022,8,13,83
2022,8,14,70
2022,8,15,107
2022,8,16,1033
2022,8,17,747
2022,8,18,581
2022,8,19,497
2022,8,20,61
2022,8,21,82
2022,8,22,671
2022,8,23,609
2022,8,24,506
2022,8,25,497
2022,8,26,398
2022,8,27,73
2022,8,28,88
2022,8,29,774
2022,8,30,581
2022,8,31,481
2022,9,1,393
2022,9,2,352
2022,9,3,86
2022,9,4,73
2022,9,5,781
2022,9,6,625
2022,9,7,474
2022,9,8,400
2022,9,9,421
2022,9,10,88
2022,9,11,93
2022,9,12,730
2022,9,13,679
2022,9,14,586
2022,9,15,608
2022,9,16,572
2022,9,17,122
2022,9,18,127
2022,9,19,1061
2022,9,20,889
2022,9,21,878
2022,9,22,963
2022,9,23,1111
2022,9,24,997
2022,9,25,127
2022,9,26,1574
2022,9,27,3001
2022,9,28,3116
2022,9,29,1993
2022,9,30,1901
2022,10,1,1595
2022,10,2,90
2022,10,3,161
2022,10,4,2960
2022,10,5,5889
2022,10,6,4103
2022,10,7,2845
2022,10,8,1597
2022,10,9,2264
2022,10,10,3184
2022,10,11,2703
2022,10,12,1945
2022,10,13,1566
2022,10,14,1317
2022,10,15,968
2022,10,16,25
2022,10,17,1233
2022,10,18,1266
2022,10,19,955
2022,10,20,700
2022,10,21,657
2022,10,22,443
2022,10,23,11
2022,10,24,717
2022,10,25,704
2022,10,26,528
2022,10,27,470
2022,10,28,301
2022,10,29,307
2022,10,30,10
2022,10,31,341
2022,11,1,9
2022,11,2,570
2022,11,3,337
2022,11,4,351
2022,11,5,5
2022,11,6,8
2022,11,7,598
2022,11,8,383
2022,11,9,332
2022,11,10,256
2022,11,11,204
2022,11,12,44
2022,11,13,6
2022,11,14,429
2022,11,15,250
2022,11,16,244
2022,11,17,236
2022,11,18,193
2022,11,19,23
2022,11,20,7
